username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-08-20 16:29;0;0;"Missing- in India From Kerala #Keralafloods #keralarescue #keralamissing #keralasos #keralafloods #keralaflood #keralafood #keralasos #keralafloodrelief #keralafloods2018 … https://www. instagram.com/p/Bmsr2Vvnsvr/ ?utm_source=ig_twitter_share&igshid=1eln7vnbf7or5 …";;;#Keralafloods #keralarescue #keralamissing #keralasos #keralafloods #keralaflood #keralafood #keralasos #keralafloodrelief #keralafloods2018;"1031495829612363776";https://twitter.com/watrahulsays/status/1031495829612363776
;2018-08-20 16:20;0;3;"Paytm Donated.....? Lol..... They are used #keralaflood as a zero cost marketing .... We get donations via paytm ..... Not from Paytm management";;;#keralaflood;"1031493576478392320";https://twitter.com/sabithnki/status/1031493576478392320
;2018-08-20 16:11;1;2;"What’s more hurting than the plight of the people in Kerala is the way people sitting in the comfort of their homes are spitting hate at them. The least we can do is refrain from posting & sharing insensitive content on social media & be more responsible & supportive #Keralaflood";;;#Keralaflood;"1031491305363394561";https://twitter.com/iShwetaaaa/status/1031491305363394561
;2018-08-20 16:10;2;5;"Class 2 girl from T.N. had collected ₹9,000 for a bicycle. Anupriya said When I saw how people are suffering in Kerala,I wanted to help them, too, with my savings,” #keralaflood #KeralaFloodRelief #KeralaFloods #KeralaReliefFund #Kerala #KeralaFloods2018 https://www. thehindu.com/news/national/ tamil-nadu/8-year-old-donates-small-savings-to-kerala-relief/article24732007.ece/amp/?__twitter_impression=true …";;;#keralaflood #KeralaFloodRelief #KeralaFloods #KeralaReliefFund #Kerala #KeralaFloods2018;"1031491121887756288";https://twitter.com/roshini008/status/1031491121887756288
;2018-08-20 16:02;2;14;"Flight operations at #Kochi Naval airport commenced today with the first Air India flight from Bengaluru arriving this morning. Catch all the live updates here: https:// mybs.in/2VpEWUp #KeralaReliefFund #KeralaFlood";;;#Kochi #KeralaReliefFund #KeralaFlood;"1031489118138769408";https://twitter.com/bsindia/status/1031489118138769408
;2018-08-20 15:48;0;1;"From Kiruthika Prabu and Pugazhini Prabu #KeralaFlood #ReliefFund Link https:// donation.cmdrf.kerala.gov.in";;;#KeralaFlood #ReliefFund;"1031485600627675136";https://twitter.com/karthishr/status/1031485600627675136
;2018-08-20 15:42;7;16;"#KeralaFlood : From rooftop where #pregnant woman was rescued, a special message of gratitude for #IndianNavy https://www. financialexpress.com/india-news/ker ala-flood-indian-navy-thanks-rooftop-rescue-kochi-pregnant-woman-rescue-images-videos/1286215/ …";;;#KeralaFlood #pregnant #IndianNavy;"1031484127210622976";https://twitter.com/FinancialXpress/status/1031484127210622976
;2018-08-20 15:38;10;12;"#BPCL #KochiRefinery CROA volunteers pack instant relief material including food and medicines for requests that kept pouring in from across the District. We have lost count of the number of lives we have touched. #EnergisingLives #KeralaFlood #DoForKerala #BPCL #KochiRefinery pic.twitter.com/0tfFvlxRyf";;;#BPCL #KochiRefinery #EnergisingLives #KeralaFlood #DoForKerala #BPCL #KochiRefinery;"1031483148595617793";https://twitter.com/KochiRefinery/status/1031483148595617793
;2018-08-20 15:31;42;111;"Leo Tolstoy’s words ‘The sole meaning of life is to serve humanity’ proven right yet again by young Anupriya from #TamilNadu , who is leading by example by contributing all that she had saved up for a bicycle, towards #KeralaFlood relief. https:// bit.ly/2N5B47O";;;#TamilNadu #KeralaFlood;"1031481271510134785";https://twitter.com/Manekagandhibjp/status/1031481271510134785
;2018-08-20 15:22;0;0;"From Sanskrit collage flood relief camp #Twinz_Chan #Keralaflood #Flood_Relief_camp https://www. facebook.com/twinzchan/vide os/1867647723316495/ …";;;#Twinz_Chan #Keralaflood #Flood_Relief_camp;"1031479087368429568";https://twitter.com/twinztuaon/status/1031479087368429568
